id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:name of associated plant,field:pollination interaction
209474802,4244b377-0bd8-43c8-9f0a-fdce511822ec,2024-04-26 10:55:53,2024-04-26,2024-04-26 09:55:53 UTC,London,1901924,elina17,Elina Doss,2024-04-26 10:01:23 UTC,2026-02-01 12:32:41 UTC,research,CC0,https://www.inaturalist.org/observations/209474802,https://static.inaturalist.org/photos/370687718/medium.jpeg,,"",,1,0,false,2,"Saint Helens WA11 0AB, UK",53.4639200097,-2.7020285279,7,,,,7,,,false,gps,gps,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,,No
209503640,a3368e38-b31c-4ecb-b27d-9517844c74e0,Fri Apr 26 2024 12:42:37 GMT +0100 (GMT+1),2024-04-26,2024-04-26 11:42:37 UTC,London,3171601,beckyboodles,"",2024-04-26 11:42:51 UTC,2026-02-06 17:36:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209503640,https://inaturalist-open-data.s3.amazonaws.com/photos/370732542/medium.jpeg,,"",,1,0,false,333,Merseyside,53.603012085,-3.0538725853,1299,,,,1299,,,false,,,Red-tailed Bumble Bee,Bombus lapidarius,Red-tailed Bumble Bee,Insecta,57619,,No
209526385,30895d33-0a56-4fc8-8d08-0f632fc7d793,2024-04-26 13:50:06,2024-04-26,2024-04-26 12:50:06 UTC,London,1901924,elina17,Elina Doss,2024-04-26 12:50:24 UTC,2026-02-15 19:47:02 UTC,research,CC0,https://www.inaturalist.org/observations/209526385,https://static.inaturalist.org/photos/370769447/medium.jpeg,,"",,1,0,false,2,"Saint Helens WA11 7NA, UK",53.47381058,-2.71533533,4,,,,4,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Taraxacum,Yes
209526728,0039276d-e170-414f-911e-0840ce3b8716,2024-04-26 13:50:43,2024-04-26,2024-04-26 12:50:43 UTC,London,6988206,matthewsharples,Matthew Sharples,2024-04-26 12:51:23 UTC,2026-02-15 19:46:55 UTC,research,CC0,https://www.inaturalist.org/observations/209526728,https://inaturalist-open-data.s3.amazonaws.com/photos/371045250/medium.jpeg,,"",,1,0,false,2,"Saint Helens WA11 7NA, UK",53.4738282755,-2.7153062572,9,,,,9,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Taraxacum,Yes
209573191,9e18dbd6-bf7d-4b3e-ae15-8c9cad476dbf,2024/04/26 8:03 AM,2024-04-26,2024-04-26 07:03:00 UTC,London,2883211,rkl,Roy Lowry,2024-04-26 14:23:52 UTC,2026-02-06 17:39:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/209573191,https://inaturalist-open-data.s3.amazonaws.com/photos/370835049/medium.jpeg,,"",,1,0,false,,"Bebington, Wirral, UK",53.3528937834,-3.0224920772,8,,,,8,,,false,,,Marsham's Nomad Bee,Nomada marshamella,Marsham's Nomad Bee,Insecta,484622,,No
209660308,d5fa85ab-dea3-40a7-8080-b50038605cb6,2024-04-26 13:50:35,2024-04-26,2024-04-26 12:50:35 UTC,London,7108560,gabrieldixon,Gabriel Dixon,2024-04-26 17:02:02 UTC,2026-02-15 19:46:48 UTC,research,CC0,https://www.inaturalist.org/observations/209660308,https://inaturalist-open-data.s3.amazonaws.com/photos/370971911/medium.jpeg,,"",,1,0,false,2,"Broad Lane, St Helens, Saint Helens WA11 7NE, UK",53.4828,-2.72055,,,,,,,,false,gps,gps,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Taraxacum,Yes
209698849,180f7170-9200-4b8c-a25f-6852ee75d9a4,2024/04/26 8:47 AM,2024-04-26,2024-04-26 07:47:00 UTC,London,2883211,rkl,Roy Lowry,2024-04-26 18:16:03 UTC,2026-02-03 16:46:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/209698849,https://inaturalist-open-data.s3.amazonaws.com/photos/371027628/medium.jpeg,,"",,1,0,false,,Brackenwood Golf Course,53.3469020466,-3.0273644282,4,,,,4,,,false,,,Ashy Mining Bee,Andrena cineraria,Ashy Mining Bee,Insecta,70400,,No
209698852,0ed06263-d76d-4306-99ac-05ff049bb8a0,2024/04/26 8:48 AM,2024-04-26,2024-04-26 07:48:00 UTC,London,2883211,rkl,Roy Lowry,2024-04-26 18:16:03 UTC,2026-02-06 17:34:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/209698852,https://inaturalist-open-data.s3.amazonaws.com/photos/371027631/medium.jpeg,,"",,2,0,false,,Brackenwood Golf Course,53.346743528,-3.0277453019,4,,,,4,,open,false,,,Tawny Mining Bee,Andrena fulva,Tawny Mining Bee,Insecta,60579,,No
209729563,2da51547-7ffc-488f-9ac7-ac60bd74baa7,2024-04-26 14:39:27+01:00,2024-04-26,2024-04-26 13:39:27 UTC,London,7677609,lyndonh,Lyndon Howson,2024-04-26 19:15:48 UTC,2026-02-13 15:00:30 UTC,research,CC0,https://www.inaturalist.org/observations/209729563,https://inaturalist-open-data.s3.amazonaws.com/photos/371081349/medium.jpg,,"","",3,1,false,3,"Gayton Hole, Wirral, England, GB",53.3161062102,-3.1097075463,651,,,,651,,open,false,,,Tawny Mining Bee,Andrena fulva,Tawny Mining Bee,Insecta,60579,Bellis perennis,Yes
209770815,abe31924-7f83-4f90-96d4-ae080692a78b,2024-04-26 19:07:45,2024-04-26,2024-04-26 18:07:45 UTC,London,7108560,gabrieldixon,Gabriel Dixon,2024-04-26 20:26:27 UTC,2026-02-13 15:01:36 UTC,research,CC0,https://www.inaturalist.org/observations/209770815,https://inaturalist-open-data.s3.amazonaws.com/photos/371147088/medium.jpeg,,"","",1,0,false,2,"Southport PR8 4HX, UK",53.631755,-2.986876,24,,,,24,,,false,gps,manual,Red-tailed Bumble Bee,Bombus lapidarius,Red-tailed Bumble Bee,Insecta,57619,Taraxacum,Yes
210019910,2cf8d653-3f6a-43e0-819c-9fdee4a94165,2024-04-27 08:50:26,2024-04-27,2024-04-27 07:50:26 UTC,London,1901924,elina17,Elina Doss,2024-04-27 07:51:07 UTC,2026-02-02 13:41:26 UTC,research,CC0,https://www.inaturalist.org/observations/210019910,https://static.inaturalist.org/photos/371557193/medium.jpeg,,"",,1,0,false,2,"Eastham Country Park, Birkenhead, Wirral CH62 0AU, UK",53.3286967,-2.9557537,14,,,,14,,,false,,,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,,No
210049910,00296639-17ec-48ad-948f-3fda37c84c47,2024-04-27 10:36:39+01:00,2024-04-27,2024-04-27 09:36:39 UTC,London,7469294,gillmj,Gill Jakeman,2024-04-27 09:39:15 UTC,2026-02-13 15:03:45 UTC,research,CC0,https://www.inaturalist.org/observations/210049910,https://inaturalist-open-data.s3.amazonaws.com/photos/371602438/medium.jpg,,"","",1,0,false,3,"Thurstaston, Wirral, England, GB",53.3558716667,-3.1345638333,4,,,,4,,,false,,,Early Mining Bee,Andrena haemorrhoa,Early Mining Bee,Insecta,69202,Taraxacum,Yes
210059594,0f1cb4ad-00e0-4103-a178-4fa4b255c2ea,2024-04-27 11:10:27,2024-04-27,2024-04-27 10:10:27 UTC,London,6988206,matthewsharples,Matthew Sharples,2024-04-27 10:11:32 UTC,2026-02-13 15:04:30 UTC,research,CC0,https://www.inaturalist.org/observations/210059594,https://inaturalist-open-data.s3.amazonaws.com/photos/371616786/medium.jpeg,,"",,2,0,false,2,"National Wildflower Centre, Liverpool L16 3NA, UK",53.4041774683,-2.8773792231,2,,,,2,,,false,,,Early Bumble Bee,Bombus pratorum,Early Bumble Bee,Insecta,124910,Pentaglottis sempervirens,Yes
210063587,e8e004e1-cb2e-47da-918c-883a91298a48,2024-04-27 11:23:14+01:00,2024-04-27,2024-04-27 10:23:14 UTC,London,7932007,cathyformby,,2024-04-27 10:25:18 UTC,2026-02-06 17:37:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/210063587,https://inaturalist-open-data.s3.amazonaws.com/photos/371623077/medium.jpg,,"","",1,0,false,3,"Pinfold Lane, Southport, England, GB",53.5932194163,-3.0525171384,3,,,,3,,,false,,,Early Cellophane Bee,Colletes cunicularius,Early Cellophane Bee,Insecta,484487,,No
210085692,d46ce670-b63b-432f-87c8-be171106e953,2024-04-27 12:26:38+01:00,2024-04-27,2024-04-27 11:26:38 UTC,London,6621588,chrlttewbstr,,2024-04-27 11:34:35 UTC,2026-02-06 17:38:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/210085692,https://inaturalist-open-data.s3.amazonaws.com/photos/371656516/medium.jpg,,"","",2,0,false,3,"Ainsdale, Southport, England, GB",53.5946885545,-3.0561392941,357,,,,357,,,false,,,Vestal Cuckoo Bumble bee,Bombus vestalis,Vestal Cuckoo Bumble bee,Insecta,127789,,No
210086737,2f3c8546-137d-4ace-99da-9b6aaa2bb8a6,2024-04-27 12:36:50,2024-04-27,2024-04-27 11:36:50 UTC,London,6988206,matthewsharples,Matthew Sharples,2024-04-27 11:37:34 UTC,2026-02-02 10:55:59 UTC,research,CC0,https://www.inaturalist.org/observations/210086737,https://inaturalist-open-data.s3.amazonaws.com/photos/371658047/medium.jpeg,,"",,2,0,false,2,"Liverpool L16, UK",53.4069532279,-2.878182416,5,,,,5,,,false,,,Hairy-footed Flower Bee,Anthophora plumipes,Hairy-footed Flower Bee,Insecta,124542,,No
210087626,ca8e52da-fb3b-4597-ba68-de79b8bac993,2024-04-27 12:39:05+01:00,2024-04-27,2024-04-27 11:39:05 UTC,London,5599993,nanth,,2024-04-27 11:40:00 UTC,2026-02-06 17:34:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/210087626,https://inaturalist-open-data.s3.amazonaws.com/photos/371659384/medium.jpg,,"","",2,0,false,3,"Lunt Meadows & Wetlands Nature Reserve, Liverpool, England, GB",53.5191343361,-2.9943315563,24,,,,24,,open,false,,,Tawny Mining Bee,Andrena fulva,Tawny Mining Bee,Insecta,60579,,No
210088251,34a0c93c-734e-4049-930e-1c00fd9c0151,2024-04-27 12:39:27,2024-04-27,2024-04-27 11:39:27 UTC,London,5916072,luke761,Luke Bentley,2024-04-27 11:41:59 UTC,2026-02-06 17:34:19 UTC,research,,https://www.inaturalist.org/observations/210088251,https://static.inaturalist.org/photos/371660333/medium.jpeg,,"",,1,0,false,2,"Thornton, Liverpool L29 8YB, UK",53.5192982757,-2.9943417013,7,,,,7,,open,false,gps,gps,Tawny Mining Bee,Andrena fulva,Tawny Mining Bee,Insecta,60579,,No
210092703,0f808952-e8e8-45ac-b769-d479710796d6,2024-04-27 12:27:14+01:00,2024-04-27,2024-04-27 11:27:14 UTC,London,1664125,m_e_thornton,M_E_Thornton,2024-04-27 11:54:38 UTC,2026-02-15 19:46:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/210092703,https://inaturalist-open-data.s3.amazonaws.com/photos/371667468/medium.jpg,,"","",1,0,false,3,"Fox Cover Road, Wirral, England, GB",53.3233833333,-3.0741278333,4,,,,4,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,,Yes
