id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:name of associated plant,field:pollination interaction
113364727,c46cf410-82f3-4c14-9a4e-ab21a8b62e22,2022-04-29 12:15:26,2022-04-29,2022-04-29 11:15:26 UTC,London,2056401,nicktew,Nick,2022-04-29 11:26:04 UTC,2026-02-20 19:54:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/113364727,https://inaturalist-open-data.s3.amazonaws.com/photos/191546144/medium.jpeg,,"",,1,0,false,2,"Pimlico, London SW1V 3HF, UK",51.4872409722,-0.143376,,,,,,,,false,gps,gps,Hairy-footed Flower Bee,Anthophora plumipes,Hairy-footed Flower Bee,Insecta,124542,Symphytum,Yes
113477558,c9c79128-72f4-43e9-a424-edacc7839107,2022-04-29 10:23:37,2022-04-29,2022-04-29 09:23:37 UTC,London,865767,chrisgannaway,Chris Gannaway,2022-04-29 17:31:43 UTC,2026-02-19 12:01:44 UTC,research,CC0,https://www.inaturalist.org/observations/113477558,https://inaturalist-open-data.s3.amazonaws.com/photos/191713097/medium.jpeg,,"",On yellow archangel  in Claybury wood ,3,0,false,2,"Woodford Green IG8 8RT, UK",51.6007856818,0.0659441203,535,,,,535,,,false,gps,gps,Common Carder Bumble Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Lamium galeobdolon,Yes
113478428,332ff0cf-c1d3-4f8e-98c6-bb2cd12ed4e9,2022-04-29 14:39:05Z,2022-04-29,2022-04-29 14:39:05 UTC,London,353381,wildhamandpetersham,Paul Cook,2022-04-29 17:33:47 UTC,2026-02-19 12:06:28 UTC,research,CC-BY,https://www.inaturalist.org/observations/113478428,https://inaturalist-open-data.s3.amazonaws.com/photos/191714838/medium.jpg,,"",Beaten from Oak (Quercus sp),3,0,false,3,"Ham Common Woods, Richmond, England, GB",51.43377,-0.30042,,,,,,,,false,,,Ashy Mining Bee,Andrena cineraria,Ashy Mining Bee,Insecta,70400,,No
113491115,c2a8ef94-af93-49f8-8dd2-19c4e80b3db1,2022/04/29 4:53 PM,2022-04-29,2022-04-29 15:53:00 UTC,London,5425033,swiftyak,Barry Wenham,2022-04-29 18:09:56 UTC,2026-02-19 12:05:51 UTC,research,CC-BY,https://www.inaturalist.org/observations/113491115,https://inaturalist-open-data.s3.amazonaws.com/photos/191732930/medium.jpg,,"","",1,0,false,,"Watford, UK",51.695488,-0.387928,,,,,,,,false,,,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,,No
113711495,0dddf4f3-8c69-478a-94c2-5175c4532acf,2022-04-29 14:35:45Z,2022-04-29,2022-04-29 14:35:45 UTC,London,353381,wildhamandpetersham,Paul Cook,2022-04-30 08:01:22 UTC,2026-02-19 12:07:56 UTC,research,CC-BY,https://www.inaturalist.org/observations/113711495,https://inaturalist-open-data.s3.amazonaws.com/photos/192099156/medium.jpg,,"",Beaten from Oak (Quercus sp),1,0,false,3,"Ham Common Woods, Richmond, England, GB",51.4337783333,-0.3003916667,,,,,,,,false,,,Grey-patched Mining Bee,Andrena nitida,Grey-patched Mining Bee,Insecta,460837,,No
113711629,ee480587-506b-4fb1-82bb-20553c44d589,2022/04/29 2:51 PM,2022-04-29,2022-04-29 13:51:00 UTC,London,3275949,victor0001,Victor Heng,2022-04-30 08:01:53 UTC,2026-02-19 12:07:49 UTC,research,CC0,https://www.inaturalist.org/observations/113711629,https://inaturalist-open-data.s3.amazonaws.com/photos/192098752/medium.jpg,,"",,1,0,false,,"South Kensington, London, UK",51.4960923781,-0.1785874274,2,,,,2,,,false,,,Flaum-Sandbiene,Andrena nitida,Grey-patched Mining Bee,Insecta,460837,,No
113734686,730dbcfd-ffa8-44c2-b075-bd2acac3a025,2022-04-30 11:13:11+01:00,2022-04-30,2022-04-30 10:13:11 UTC,London,5572020,empressmoth,,2022-04-30 10:13:30 UTC,2026-02-20 19:54:19 UTC,research,CC0,https://www.inaturalist.org/observations/113734686,https://inaturalist-open-data.s3.amazonaws.com/photos/192135942/medium.jpg,,"","",1,0,false,3,"Richmond Park, London, England, GB",51.4565216125,-0.2671774556,46,,,,46,,,false,,,Hairy-footed Flower Bee,Anthophora plumipes,Hairy-footed Flower Bee,Insecta,124542,Nepeta,Yes
113774442,8eb50ef1-ad40-4055-b3ed-39fff0cacccd,2022-04-30 14:12:30,2022-04-30,2022-04-30 13:12:30 UTC,London,781146,focg,"",2022-04-30 13:14:32 UTC,2026-02-20 19:53:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/113774442,https://inaturalist-open-data.s3.amazonaws.com/photos/192194115/medium.jpeg,,"",Female,1,0,false,2,"Old Street (Stop N), London EC1Y 2AN, UK",51.5236227,-0.0878256,29,,,,29,,,false,,,Hairy-footed Flower Bee,Anthophora plumipes,Hairy-footed Flower Bee,Insecta,124542,Lamium album,Yes
113778935,f3758b44-37bb-4fa4-9f90-fdddd8efd356,2022-04-30 11:39:29+01:00,2022-04-30,2022-04-30 10:39:29 UTC,London,5268862,emma_onyejekwe,,2022-04-30 13:29:21 UTC,2026-02-19 12:05:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/113778935,https://inaturalist-open-data.s3.amazonaws.com/photos/192207805/medium.jpg,,"","",1,0,false,3,"England, GB",51.2665054636,-0.1646023719,28,,,,26229,obscured,,true,,,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,,No
113785461,61267249-89e7-4021-a07f-225f1f4a159d,2022-04-30 14:46:23,2022-04-30,2022-04-30 13:46:23 UTC,London,781146,focg,"",2022-04-30 13:47:57 UTC,2023-04-21 08:09:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/113785461,https://inaturalist-open-data.s3.amazonaws.com/photos/192211323/medium.jpeg,,"",,1,0,false,2,"Hill, London EC1Y 8ND, UK",51.5235627,-0.0899708,34,,,,34,,,false,,,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,,
